
n: 1700000T(n): 98714432, T(n)/(n*n): -1.9242946641195928E-10, T(n)/(n log n): 2.805576802487378E-9, 

n: 1700000T(n): 98341699, T(n)/(n*n): -1.9170287749430103E-10, T(n)/(n log n): 2.794983305294166E-9, 

n: 1700000T(n): 99820449, T(n)/(n*n): -1.945854861229632E-10, T(n)/(n log n): 2.8370110677258864E-9, 

n: 1700000T(n): 104364574, T(n)/(n*n): -2.0344359867391466E-10, T(n)/(n log n): 2.966160285619405E-9, 

n: 1700000T(n): 100407097, T(n)/(n*n): -1.9572907130422262E-10, T(n)/(n log n): 2.8536842733218583E-9, 

n: 1700000T(n): 100085560, T(n)/(n*n): -1.951022815624582E-10, T(n)/(n log n): 2.844545824869444E-9, 

n: 1700000T(n): 98277652, T(n)/(n*n): -1.9157802715797646E-10, T(n)/(n log n): 2.7931630164688306E-9, 

n: 1700000T(n): 100139599, T(n)/(n*n): -1.9520762275446784E-10, T(n)/(n log n): 2.8460816749144462E-9, 

n: 1700000T(n): 100403846, T(n)/(n*n): -1.9572273395128822E-10, T(n)/(n log n): 2.853591876192076E-9, 

n: 1700000T(n): 99965795, T(n)/(n*n): -1.948688170671671E-10, T(n)/(n log n): 2.8411419669031647E-9, 

n: 1800000T(n): 103539170, T(n)/(n*n): 6.49287289300635E-11, T(n)/(n log n): 2.7681888332978976E-9, 

n: 1800000T(n): 105169916, T(n)/(n*n): 6.595135896454982E-11, T(n)/(n log n): 2.811787916303346E-9, 

n: 1800000T(n): 104960862, T(n)/(n*n): 6.58202625833663E-11, T(n)/(n log n): 2.806198718047688E-9, 

n: 1800000T(n): 104849059, T(n)/(n*n): 6.575015166128176E-11, T(n)/(n log n): 2.8032095902023593E-9, 

n: 1800000T(n): 102928063, T(n)/(n*n): 6.4545507770861E-11, T(n)/(n log n): 2.751850479674335E-9, 

n: 1800000T(n): 106282559, T(n)/(n*n): 6.66490900333128E-11, T(n)/(n log n): 2.841535169715239E-9, 

n: 1800000T(n): 106124765, T(n)/(n*n): 6.655013845921007E-11, T(n)/(n log n): 2.837316441781053E-9, 

n: 1800000T(n): 105847831, T(n)/(n*n): 6.637647497883335E-11, T(n)/(n log n): 2.8299124264083153E-9, 

n: 1800000T(n): 105589281, T(n)/(n*n): 6.621433998330586E-11, T(n)/(n log n): 2.822999919548842E-9, 

n: 1800000T(n): 105784231, T(n)/(n*n): 6.633659183934177E-11, T(n)/(n log n): 2.828212037948588E-9, 

n: 1900000T(n): 114812027, T(n)/(n*n): -5.553192390894257E-11, T(n)/(n log n): 2.897144224422099E-9, 

n: 1900000T(n): 112876722, T(n)/(n*n): -5.459586160947114E-11, T(n)/(n log n): 2.8483091167269334E-9, 

n: 1900000T(n): 111198704, T(n)/(n*n): -5.3784243085448075E-11, T(n)/(n log n): 2.805966338847258E-9, 

n: 1900000T(n): 112367519, T(n)/(n*n): -5.434957188713913E-11, T(n)/(n log n): 2.8354599878590285E-9, 

n: 1900000T(n): 110678698, T(n)/(n*n): -5.3532728201696457E-11, T(n)/(n log n): 2.7928446091911407E-9, 

n: 1900000T(n): 114159990, T(n)/(n*n): -5.521654868200912E-11, T(n)/(n log n): 2.880690850346058E-9, 

n: 1900000T(n): 111794610, T(n)/(n*n): -5.407246904498873E-11, T(n)/(n log n): 2.8210033142522693E-9, 

n: 1900000T(n): 113538494, T(n)/(n*n): -5.4915945430907973E-11, T(n)/(n log n): 2.8650081418881587E-9, 

n: 1900000T(n): 112533224, T(n)/(n*n): -5.442971956584296E-11, T(n)/(n log n): 2.83964135540607E-9, 

n: 1900000T(n): 112127854, T(n)/(n*n): -5.4233651465808736E-11, T(n)/(n log n): 2.8294123281434993E-9, 

n: 2000000T(n): 117519694, T(n)/(n*n): 8.482436212606506E-11, T(n)/(n log n): 2.8072357217468296E-9, 

n: 2000000T(n): 118836965, T(n)/(n*n): 8.577515316813639E-11, T(n)/(n log n): 2.8387018537674014E-9, 

n: 2000000T(n): 117015017, T(n)/(n*n): 8.446009207780662E-11, T(n)/(n log n): 2.795180318485279E-9, 

n: 2000000T(n): 114725374, T(n)/(n*n): 8.280745412104502E-11, T(n)/(n log n): 2.7404867824414604E-9, 

n: 2000000T(n): 119304421, T(n)/(n*n): 8.611255752711985E-11, T(n)/(n log n): 2.8498681454490736E-9, 

n: 2000000T(n): 118050126, T(n)/(n*n): 8.520722183680642E-11, T(n)/(n log n): 2.8199063440712687E-9, 

n: 2000000T(n): 116994074, T(n)/(n*n): 8.44449756615232E-11, T(n)/(n log n): 2.794680045418532E-9, 

n: 2000000T(n): 118450352, T(n)/(n*n): 8.549610035580822E-11, T(n)/(n log n): 2.8294666882632116E-9, 

n: 2000000T(n): 116561711, T(n)/(n*n): 8.413290102591435E-11, T(n)/(n log n): 2.7843520330058924E-9, 

n: 2000000T(n): 119959856, T(n)/(n*n): 8.658564296410284E-11, T(n)/(n log n): 2.865524759950496E-9, 

n: 2100000T(n): 125248379, T(n)/(n*n): -1.3447136777752827E-10, T(n)/(n log n): 2.8398345301893282E-9, 

n: 2100000T(n): 125578237, T(n)/(n*n): -1.3482551572568146E-10, T(n)/(n log n): 2.84731360613377E-9, 

n: 2100000T(n): 123502938, T(n)/(n*n): -1.32597396708849E-10, T(n)/(n log n): 2.800259058939452E-9, 

n: 2100000T(n): 125428499, T(n)/(n*n): -1.3466475138023413E-10, T(n)/(n log n): 2.8439185031689523E-9, 

n: 2100000T(n): 124674684, T(n)/(n*n): -1.3385542726034897E-10, T(n)/(n log n): 2.826826786026851E-9, 

n: 2100000T(n): 123868285, T(n)/(n*n): -1.329896469814327E-10, T(n)/(n log n): 2.8085427990914984E-9, 

n: 2100000T(n): 122034297, T(n)/(n*n): -1.3102060852507413E-10, T(n)/(n log n): 2.7669596465434492E-9, 

n: 2100000T(n): 129295136, T(n)/(n*n): -1.3881611821021282E-10, T(n)/(n log n): 2.9315891728892182E-9, 

n: 2100000T(n): 125594330, T(n)/(n*n): -1.3484279377541686E-10, T(n)/(n log n): 2.8476784927491438E-9, 

n: 2100000T(n): 123913503, T(n)/(n*n): -1.3303819472597606E-10, T(n)/(n log n): 2.8095680549775333E-9, 

n: 2200000T(n): 131921869, T(n)/(n*n): -3.0812601097159705E-10, T(n)/(n log n): 2.8460904991066323E-9, 

n: 2200000T(n): 130181730, T(n)/(n*n): -3.0406161973252124E-10, T(n)/(n log n): 2.8085486335117404E-9, 

n: 2200000T(n): 130277809, T(n)/(n*n): -3.042860286135699E-10, T(n)/(n log n): 2.810621447755023E-9, 

n: 2200000T(n): 129803226, T(n)/(n*n): -3.0317755912497487E-10, T(n)/(n log n): 2.8003827649833476E-9, 

n: 2200000T(n): 129929511, T(n)/(n*n): -3.034725192675995E-10, T(n)/(n log n): 2.80310724532466E-9, 

n: 2200000T(n): 129223939, T(n)/(n*n): -3.018245355977104E-10, T(n)/(n log n): 2.787885191688992E-9, 

n: 2200000T(n): 127901337, T(n)/(n*n): -2.9873537319080837E-10, T(n)/(n log n): 2.7593512949603194E-9, 

n: 2200000T(n): 129508600, T(n)/(n*n): -3.0248940988333157E-10, T(n)/(n log n): 2.7940264855753464E-9, 

n: 2200000T(n): 130737018, T(n)/(n*n): -3.0535858950468543E-10, T(n)/(n log n): 2.82052845090705E-9, 

n: 2200000T(n): 131901739, T(n)/(n*n): -3.08078993925463E-10, T(n)/(n log n): 2.8456562132510623E-9, 

n: 2300000T(n): 137950182, T(n)/(n*n): -9.85563530180086E-11, T(n)/(n log n): 2.8381093777559806E-9, 

n: 2300000T(n): 137236319, T(n)/(n*n): -9.804634474680171E-11, T(n)/(n log n): 2.82342276230278E-9, 

n: 2300000T(n): 140725040, T(n)/(n*n): -1.0053880697825668E-10, T(n)/(n log n): 2.895197743987648E-9, 

